states_ut,serotype_o_pct_pre,serotype_o_pct_post,serotype_a_pct_pre,serotype_a_pct_post,serotype_asia1_pct_pre,serotype_asia1_pct_post,report_page,round,year
Pondichery,42.1,52.6,26.3,36.8,,21.1,31,2,2012
Pondichery,45.7,63.0,15.2,43.5,56.5,65.2,31,3,2013
Pondichery,87.0,96.3,74.0,94.3,87.0,95.5,31,6,2014
Pondichery,95.1,96.0,60.4,86.0,93.0,95.1,31,7,2015
Pondichery,88.0,94.9,73.5,86.5,85.8,92.7,31,11,2016
Pondichery,95.8,98.1,85.7,89.8,94.7,95.5,31,12,2017
Pondichery,58.7,75.5,49.8,60.8,69.0,78.4,31,13,2017
Pondichery,69.8,82.3,49.6,80.2,73.4,89.1,31,14,2018
Pondichery,63.9,73.6,41.3,69.8,83.3,93.4,31,15,2018
Pondichery,69.0,85.2,57.2,74.5,77.9,90.3,31,16,2019
